source;target;weight
bbcglasto;lad;1
bbcglasto;offhisnut;1
bbcglasto;glasto84;1
bbcglasto;bootlegs;1
bbcglasto;chaseandstatustime;1
bbcglasto;stoneroses;2
bbcglasto;failing;1
bbcglasto;getthetentout;1
bbcglasto;livingroomrave;1
bbcglasto;topshop;1
bbcglasto;poor;1
bbcglasto;itsjustakissaway;1
bbcglasto;justjealous;1
bbcglasto;who;1
bbcglasto;yes;1
bbcglasto;millionpounddrop;1
bbcglasto;boxing;1
bbcglasto;qna;2
bbcglasto;progressivepolitics;1
bbcglasto;sickk;1
bbcglasto;mademyday;2
bbcglasto;brownsugar;6
bbcglasto;whoopeefuckingdo;1
bbcglasto;hype;1
bbcglasto;ilovelife;1
bbcglasto;armchairglasto;3
bbcglasto;bbctwo;4
bbcglasto;bedroomfestival;1
bbcglasto;noproblem;1
bbcglasto;oldhippiejezza;1
bbcglasto;jagger;9
bbcglasto;strongerandtighter;1
bbcglasto;startmeup;4
bbcglasto;enansharpleslookalike;1
bbcglasto;psyched;2
bbcglasto;controlfreak;1
bbcglasto;jasonstatham;1
bbcglasto;djissick;1
bbcglasto;fifa12;1
bbcglasto;discofever;1
bbcglasto;bbcfree;1
bbcglasto;goingcrazyyyy;1
bbcglasto;realmusic;1
bbcglasto;tunes;3
bbcglasto;toetappin;1
bbcglasto;favess;1
bbcglasto;drumandbass;1
bbcglasto;bangers;1
bbcglasto;countrygirl;1
bbcglasto;soreeyes;1
bbcglasto;austeritybritain;2
bbcglasto;nextyear;3
bbcglasto;rockandroll;2
bbcglasto;itsaravedave;1
bbcglasto;cleverbitch;1
bbcglasto;not;1
bbcglasto;ohbother;1
bbcglasto;raveon;1
bbcglasto;behindthemusic;1
bbcglasto;wanttobethere;4
bbcglasto;stfu;2
bbcglasto;bbc2hd;1
bbcglasto;turningintomygran;1
bbcglasto;mindblowing;1
bbcglasto;iwishiwasthere;1
bbcglasto;bobbysaysiwishiwasmick;3
bbcglasto;buzzziin;2
bbcglasto;notthathistoric;1
bbcglasto;skankin;1
bbcglasto;wwfc;2
bbcglasto;stillnostones;1
bbcglasto;bringonthestones;2
bbcglasto;cricket;1
bbcglasto;wastedtalent;1
bbcglasto;getonwithit;6
bbcglasto;nextbigthing;1
bbcglasto;trippy;1
bbcglasto;girlbassistsrockbestest;1
bbcglasto;sarcasm;2
bbcglasto;newaclass;6
bbcglasto;paedobritain;6
bbcglasto;mccann;6
bbcglasto;chooooooonnnneeeeeee;1
bbcglasto;mugs;1
bbcglasto;nocorporateshitethere;1
bbcglasto;hurrythefuckup;2
bbcglasto;nexthype;1
bbcglasto;angedadquotes;1
bbcglasto;albamashakes;1
bbcglasto;wannabethere;1
bbcglasto;wherearethestones;1
bbcglasto;excitingtimes;1
bbcglasto;rockndull;1
bbcglasto;slowitdown;1
bbcglasto;mandy;1
bbcglasto;jawbreaker;1
bbcglasto;culturalchernobyl;1
bbcglasto;frankspencer;1
bbcglasto;lovinglifeonthesofa;1
bbcglasto;chase;20
bbcglasto;goonight;1
bbcglasto;priorities;1
bbcglasto;hurryup;1
bbcglasto;brucesponge;1
bbcglasto;wasteman;1
bbcglasto;got;1
bbcglasto;smashingit;1
bbcglasto;bodach;1
bbcglasto;oldman;1
bbcglasto;passedit;1
bbcglasto;crazzzzzzzzzzzylegs;1
bbcglasto;somethingiswrong;1
bbcglasto;wishiwasatglastonbury;3
bbcglasto;joke;1
bbcglasto;chasenstatussuck;1
bbcglasto;knockingon;2
bbcglasto;lovingit;3
bbcglasto;fashionistanomore;1
bbcglasto;obvgettingold;1
bbcglasto;rollingston;1
bbcglasto;moveslikejagger;13
bbcglasto;thewalkingdead;1
bbcglasto;keef;3
bbcglasto;checkhimforapulse;1
bbcglasto;youngmansgame;1
bbcglasto;oap;1
bbcglasto;whaaaat;1
bbcglasto;takemeaway;1
bbcglasto;goodtimeswithgreatfriends;1
bbcglasto;hurtsmyears;1
bbcglasto;awfulnoise;1
bbcglasto;amateurs;1
bbcglasto;wrinklies;1
bbcglasto;ancient;1
bbcglasto;missyou;1
bbcglasto;jaggersstillgotthemoves;1
bbcglasto;raving;3
bbcglasto;hydepark;1
bbcglasto;bloodyawful;1
bbcglasto;tempz;1
bbcglasto;daddancing;2
bbcglasto;mincing;1
bbcglasto;rolingstones;1
bbcglasto;turds;2
bbcglasto;gutted;2
bbcglasto;headliners;1
bbcglasto;micksjacket;1
bbcglasto;brap;1
bbcglasto;beergoggles;1
bbcglasto;orisitthewine;1
bbcglasto;oldmenonstage;1
bbcglasto;sorrystones;1
bbcglasto;bruce;1
bbcglasto;rolling;2
bbcglasto;gimmeshelterplz;1
bbcglasto;massive;1
bbcglasto;ageingme;1
bbcglasto;carnage;1
bbcglasto;takemethere;1
bbcglasto;senile;1
bbcglasto;rockanddull;1
bbcglasto;rs;1
bbcglasto;deleven;2
bbcglasto;time;2
bbcglasto;skinny;1
bbcglasto;youngersiblings;1
bbcglasto;watchingontv;1
bbcglasto;putypurharmonicaaway;1
bbcglasto;shite;1
bbcglasto;lookalike;5
bbcglasto;hurts;13
bbcglasto;hothothot;1
bbcglasto;memories;2
bbcglasto;bandana;1
bbcglasto;coybib;1
bbcglasto;rollingsones;1
bbcglasto;givemefloydanyday;2
bbcglasto;sirmick;1
bbcglasto;mickjagger;16
bbcglasto;emasculating;1
bbcglasto;epicbantz;1
bbcglasto;giveupgrandad;1
bbcglasto;zzz;1
bbcglasto;derek;1
bbcglasto;terrible;1
bbcglasto;rollingstonesglasto;1
bbcglasto;cringing;1
bbcglasto;pasttheirbest;1
