source;target;weight
glastonbury;getgood;1
glastonbury;internationalpervert;1
glastonbury;solange;2
glastonbury;ip;1
glastonbury;savethearctic;1
glastonbury;day4;5
glastonbury;baxterfront;1
glastonbury;motorneuronedisease;1
glastonbury;glastonburymusicfestival;3
glastonbury;yahoo;1
glastonbury;longlivekeef;2
glastonbury;glastnos;2
glastonbury;dancevalley;2
glastonbury;cardiff;5
glastonbury;kasabi;1
glastonbury;maybeanothertime;1
glastonbury;wirefm;3
glastonbury;therollingstones;706
glastonbury;tameimpala;4
glastonbury;shitweather;1
glastonbury;football;5
glastonbury;europeroundthecorner;1
glastonbury;confederationcup;2
glastonbury;beaconsfestival;1
glastonbury;uonewcastle;1
glastonbury;sheffieldsfinest;1
glastonbury;outfit;3
glastonbury;klf4glasto2014;1
glastonbury;whitenoise;1
glastonbury;disclosure;5
glastonbury;tune;37
glastonbury;notgoingout;1
glastonbury;mobgrazing;1
glastonbury;recyclednutrients;1
glastonbury;yolo;6
glastonbury;everycloud;1
glastonbury;bliss;12
glastonbury;quality;35
glastonbury;northamptonshire;1
glastonbury;favband;3
glastonbury;lovethem;9
glastonbury;glastonbrummie;2
glastonbury;incredible;17
glastonbury;dontevencare;2
glastonbury;wankers;5
glastonbury;iphonejuice;1
glastonbury;fun;9
glastonbury;poncho;1
glastonbury;festivalwankers;1
glastonbury;awsome;9
glastonbury;welldone;2
glastonbury;freshair;1
glastonbury;shift;1
glastonbury;night;6
glastonbury;norti;1
glastonbury;bmf;1
glastonbury;beadyeye;20
glastonbury;purpleaki;14
glastonbury;thegympestfromthenorthwest;6
glastonbury;hydepark;11
glastonbury;bouncefest;2
glastonbury;lovedit;2
glastonbury;woulddoitallagain;1
glastonbury;immense;8
glastonbury;toofuckinold;1
glastonbury;craic;1
glastonbury;old;34
glastonbury;industrywanker;1
glastonbury;benefitsoflivinginsomerset;1
glastonbury;lastshadowpuppets;1
glastonbury;mileskane;4
glastonbury;motorneurone;1
glastonbury;thevaccines;8
glastonbury;comedy;1
glastonbury;waitrose;1
glastonbury;nhs;1
glastonbury;supernatural;1
glastonbury;funny;3
glastonbury;dentist;1
glastonbury;opticians;1
glastonbury;diabetes;1
glastonbury;humour;1
glastonbury;english;6
glastonbury;talkshows;1
glastonbury;iamsiegeface;6
glastonbury;alphapapa;6
glastonbury;alwaysamazing;2
glastonbury;justnotsureaboutslummingit;1
glastonbury;classact;8
glastonbury;asos;1
glastonbury;truereligion;1
glastonbury;shopbop;1
glastonbury;tinthepark;12
glastonbury;hunter;1
glastonbury;cute;5
glastonbury;wetsuit;1
glastonbury;puppy;1
glastonbury;downonthefarm;1
glastonbury;sarcasm;2
glastonbury;ukedtravels;1
glastonbury;soundcheque;2
glastonbury;glasto2k13;1
glastonbury;angelites;14
glastonbury;ink;1
glastonbury;custom;1
glastonbury;throws;1
glastonbury;skate;1
glastonbury;graffiti;2
glastonbury;spray;1
glastonbury;woman;1
glastonbury;superman;1
glastonbury;wanttogosobad;1
glastonbury;goodlineup;1
glastonbury;playlist;1
glastonbury;verano2013;2
glastonbury;musicfestival;3
glastonbury;library;1
glastonbury;southampton;1
glastonbury;getwelliedataspers;1
glastonbury;acidhouse;11
glastonbury;the;17
glastonbury;glitterarty;1
glastonbury;art;14
glastonbury;colorislife;1
glastonbury;kigu;2
glastonbury;yogafest;2
glastonbury;redpanda;2
glastonbury;lewes;1
glastonbury;7ds;1
glastonbury;wannabethere;9
glastonbury;calledit;1
glastonbury;debt;2
glastonbury;pollution;2
glastonbury;gaia;2
glastonbury;rubbish;5
glastonbury;spotify;2
glastonbury;lovehim;10
glastonbury;hydepa;2
glastonbury;alderleyedge;1
glastonbury;wimbledon13;43
glastonbury;youththeatre;1
glastonbury;backstagepass;1
glastonbury;gb13;1
glastonbury;llorennafreakzfollowmespree;5
glastonbury;saturdayshoutout;5
glastonbury;beats;5
glastonbury;followme;5
glastonbury;weekendbeats;5
glastonbury;tunes;25
glastonbury;shoutout;5
glastonbury;vintage;6
glastonbury;customised;1
glastonbury;blog;1
glastonbury;jackets;1
glastonbury;education;2
glastonbury;acoustictent;3
glastonbury;iknowitschaseandstatus;1
glastonbury;glanimals;1
glastonbury;beadheadliner;1
glastonbury;alexturnermarryme;1
glastonbury;nv;1
glastonbury;keepitreal;1
glastonbury;justbegoodtogreen;2
glastonbury;needyoutonight;1
glastonbury;thearchers;2
glastonbury;winwin;1
glastonbury;plebs;1
glastonbury;gravesend;3
glastonbury;robbiewilliams;1
glastonbury;ootd;6
glastonbury;echo;1
glastonbury;loadsmoretogo;1
glastonbury;emobweb;2
glastonbury;ibiza;7
glastonbury;village;1
glastonbury;france;1
glastonbury;lizlovesglasto;1
glastonbury;party;19
glastonbury;sun;17
glastonbury;menswear;1
glastonbury;casuals;1
glastonbury;bykh;1
glastonbury;fakehippies;1
glastonbury;treetopflyers;2
glastonbury;sittingonyourarsewatchingtv;2
glastonbury;pridelondon;3
glastonbury;other;6
glastonbury;armedforcesday;4
glastonbury;bbcthree;63
glastonbury;monkeys;5
glastonbury;artic;3
glastonbury;camping;9
glastonbury;bangingdrumandbass;2
glastonbury;wellbe;1
glastonbury;liam;1
glastonbury;palmaviolets;2
glastonbury;facepaint;2
glastonbury;laugh;3
glastonbury;smile;2
glastonbury;neon;2
glastonbury;johnpeelstage;14
glastonbury;fridaynight;2
glastonbury;bee;4
glastonbury;unveiled;1
glastonbury;bij;1
glastonbury;be;4
glastonbury;wishiwasatglasto;18
glastonbury;penzance;1
glastonbury;cornish;1
glastonbury;mazeyday;1
glastonbury;saveukjustice;7
glastonbury;saturdaymorning;1
